name,website,phone,email,amenity,@lat,@lon
Filfora,,,,restaurant,23.2639205,77.3802723
Manohar Dairy & Restaurant,,,,restaurant,23.2342390,77.4339722
Shree Krishna Chaat,,,,restaurant,23.2574182,77.4112473
MANIT Canteen,,,,restaurant,23.2153081,77.4062995
Bapu Ki Kutia,https://bapukikutia.in/,+91- 98260-23724,,restaurant,23.2387189,77.4024992
Milan Restaurant,,,,restaurant,23.2325897,77.4332685
Chote Nawab,,,,restaurant,23.2228062,77.4451417
Mama Sweets,,,,restaurant,23.2224525,77.4452758
Sunshine Tea Stall,,,,restaurant,23.2224660,77.4449821
,,,,restaurant,23.2223697,77.4453003
Nashta Ghar,,,,restaurant,23.2228148,77.4453040
,,,,restaurant,23.2228854,77.4453087
Sakshi Dhaba,,,,restaurant,23.2039138,77.3623026
Sakshi dhabha,,,,restaurant,23.2041578,77.3622843
Manohar dairy & Restaurant,,,,restaurant,23.2641182,77.4084612
Wood Wind Bakery Lounge,,,,restaurant,23.1925884,77.4332746
Bhopal Express,,,,restaurant,23.2426214,77.3874912
Meena Hotel,,,,restaurant,23.2024194,77.3560413
CanteenS Hg C Canteen,,,,restaurant,23.2657076,77.3460173
Narmada Restaurant,,,,restaurant,23.2737474,77.3482334
Canteen,,,,restaurant,23.2729798,77.3396810
Shagun,,,,restaurant,23.2721881,77.3388156
New Darbar,,,,restaurant,23.2716510,77.3377732
SHUDDH BARFI HOUSE,,,,restaurant,23.2708541,77.3384221
The taste of Nepal,,,,restaurant,23.2696640,77.3359347
Evergreen Restaurant,,,,restaurant,23.2683053,77.3210879
CHIRAYU BACKSIDE CANTEEN,,,,restaurant,23.2703202,77.3089227
Gandhi Dham,,,,restaurant,23.2386604,77.4024464
Saatvik,,,,restaurant,23.2359564,77.4018192
Kwality,,,,restaurant,23.2365447,77.4006669
Indian Coffee House,,,,restaurant,23.2348644,77.4017207
Amer Bakery Hut,,,,restaurant,23.2174899,77.4276323
china bowl,,,,restaurant,23.2088598,77.4368158
e-7 resturant,,,,restaurant,23.2060998,77.4371650
Sudarshan Restaurant,,+919752948585,,restaurant,23.2854431,77.2742119
the famous chourasiya dhaba& restaurant,https://maps.app.goo.gl/uBhgSshnYe4fAvga8,7067669399,,restaurant,23.3399151,77.3998810
the famous chourasiya dhaba restaurant,,7067669399,,restaurant,23.3388666,77.4001560
Honey's Kitchen Official Bhopal,https://www.instagram.com/honeys_kitchen_official/,+91-7587-511503,,restaurant,23.2302310,77.4115543
Sagar Gaire Restaurant,,,,restaurant,23.2677572,77.4669692
Dev Bhog Restaurant,,,,restaurant,23.2550222,77.4719878
,,,,restaurant,23.2478747,77.4709796
The Farmer's Table,,07693-006738,,restaurant,23.1659662,77.4891090
A-One Bhojnalaya.,,,,restaurant,23.2612392,77.3704237
,,,,restaurant,23.2377108,77.2330105
Hotel Shri Sarkaar,,,,restaurant,23.2207962,77.1848901
,,,,restaurant,23.2215802,77.1846466
,,,,restaurant,23.2212116,77.1853879
Hotel Avantika,,,,restaurant,23.2557643,77.4299698
Siddhaant,,+91 99813 12999,,restaurant,23.1968888,77.4304860
Rajoriya Family Restaurant,,,,restaurant,23.2665569,77.4575969
Moringa,,,,restaurant,23.2690772,77.4557383
Daddy's Kitchen,,,,restaurant,23.2690016,77.4559669
Tapti,,,,restaurant,23.2372905,77.3994555
Hakeem Hotel,,,,restaurant,23.2360853,77.3987244
Annapurna,,,,restaurant,23.2359016,77.3993340
Leela's,,,,restaurant,23.2269984,77.4016026
The Sheesham Bakers Restaurant,,,,restaurant,23.2565954,77.4571116
Raj Darbar,,,,restaurant,23.2775813,77.4615937
Pooja Bhojanalaya,,,,restaurant,23.2337371,77.4347825
Windz and Waves,,,,restaurant,23.2416597,77.3805585
Mess - 2,,,,restaurant,23.2913227,77.2708838
Akash garden,,,,restaurant,23.2677321,77.3215000
Canteen,,,,restaurant,23.2679784,77.3165677
Shri Shankar Hotel Evam Nashta Ghar,,,,restaurant,23.2013766,77.3565905
Mess - 1,,,,restaurant,23.2899946,77.2721613
Mess - 3,,,,restaurant,23.2925352,77.2706018
Mess - 4,,,,restaurant,23.2933012,77.2718372
Mess - 5,,,,restaurant,23.2930321,77.2704516
Mess - 6,,,,restaurant,23.2939129,77.2709181
