name,Contact No.,official_url,has_official_website,lead_score,lead_category
Jain Mithai Bhandar(JMB),+91 74007 04646,,FALSE,70,High Priority
Apna Sweets,+91 76111 06942,https://apnasweets.com/,TRUE,15,Strong Online Presence
Bhojanalay and Tiffin Centre,90391 06870,,FALSE,75,High Priority
MY Kitchen Restaurant,9189171921,,FALSE,80,High Priority
hazi samosa center,,,FALSE,85,Hot Lead
Mr. Singh's Restaurant,097520 91717,,FALSE,70,High Priority
Nafees,090390 90005,,FALSE,85,Hot Lead
Saifee Restaurant,098265 17285,,FALSE,90,Hot Lead
Saifee Hotel,,,FALSE,85,Hot Lead
Mr. Beans,,https://mrbeans.in/indore.php,TRUE,15,Strong Online Presence
Kebabsville,,,FALSE,70,High Priority
Blue Lagoon,,,FALSE,85,Hot Lead
Mediterra,,,FALSE,75,High Priority
Chopstick City,,,FALSE,80,High Priority
Sanchi,,http://www.sanchiindore.com/,TRUE,10,Strong Online Presence
babla chicken centre,,,FALSE,75,High Priority
Prashant Restaurant,,,FALSE,80,High Priority
Sai prasad,,,FALSE,70,High Priority
Neelkamal restaurant,,,FALSE,70,High Priority
Neelkanth restaurant,,,FALSE,75,High Priority
Man bhavan,,,FALSE,70,High Priority
Kabeer roasted chicken,,,FALSE,90,Hot Lead
Krishna Restaurant,,,FALSE,70,High Priority
Pitchers Cafebar,,,FALSE,70,High Priority
Pizza Hut,,https://restaurants.pizzahut.co.in/Madhya+Pradesh-Indore,TRUE,20,Strong Online Presence
Pizza Hut,,https://www.pizzahut.co.in/,TRUE,15,Strong Online Presence
Pizza Hut,,,FALSE,90,Hot Lead
Pizza Hut,,https://restaurants.pizzahut.co.in/pizza-hut-bhawarkua-main-rd-pizza-restaurant-bhawarkua-main-rd-indore-104907/Home,TRUE,10,Strong Online Presence
Ambika sweets,,,FALSE,90,Hot Lead
Jainam food,,,FALSE,80,High Priority
Sharma Sweets,,,FALSE,70,High Priority
ATKT cafe,,,FALSE,85,Hot Lead
Lord of Grill,,,FALSE,95,Hot Lead
Apna Punjabi Dhaba,,,FALSE,70,High Priority
Maratha Darbar,,,FALSE,75,High Priority
Maayra Ka Dhaaba,,,FALSE,70,High Priority
Ramesh South Indian,,,FALSE,80,High Priority
Panna Restaurant & Sweets,,,FALSE,95,Hot Lead
D. K. Restaurant,,,FALSE,85,Hot Lead
Kushwah Ji Tiffin Center,,,FALSE,90,Hot Lead
Kesarlal,,,FALSE,70,High Priority
Apna Sweets,,https://apnasweets.com/,TRUE,15,Strong Online Presence
Pishori Dhaba,,,FALSE,70,High Priority
Gurjar Restaurant,,,FALSE,85,Hot Lead
Taste N Best,,,FALSE,75,High Priority
Sapna Restaurant,,,FALSE,70,High Priority
Wayfare,,,FALSE,80,High Priority
Satkar Pure Veg,,,FALSE,70,High Priority
Kitchen Sensation,,,FALSE,75,High Priority
Just Paratha,,,FALSE,80,High Priority
Radha sanchi parler,,,FALSE,75,High Priority
Primus Lounge,,,FALSE,85,Hot Lead
Annapurna Restaurent,,,FALSE,70,High Priority
vijayshree sandwhcih,,,FALSE,80,High Priority
ridhi sidhi,,,FALSE,90,Hot Lead
Pind balluchi,,,FALSE,95,Hot Lead
Satkar Pure Veg Punjabi Dhaba,,,FALSE,80,High Priority
sun food restaurant,,,FALSE,70,High Priority
Orion Restaurant,,,FALSE,70,High Priority
Mayur Dhaba,,,FALSE,80,High Priority
Shri Gajanand Bhojanalaya,,,FALSE,85,Hot Lead
Karnavat,,,FALSE,75,High Priority
Desi Tadka Restaurant,,,FALSE,75,High Priority
Mid Flight,,,FALSE,85,Hot Lead
Mausa,,,FALSE,95,Hot Lead
The Garden,,,FALSE,90,Hot Lead
Wolf Casa,,https://www.wolf-casa.com/,TRUE,25,Low Priority
Hotel Apna Avenue,,https://www.hotelapnaavenue.com/,TRUE,20,Strong Online Presence
Jash Garden Restaurant,,,FALSE,90,Hot Lead
Eden Garden,,,FALSE,90,Hot Lead
Vrindavan Restaurant,,,FALSE,90,Hot Lead
Desi Tadka,,,FALSE,75,High Priority
Rangoon Garden,,,FALSE,80,High Priority
Hunger Pangzzz,,,FALSE,75,High Priority
JAM,,https://jamgate.in/,TRUE,25,Low Priority
hul adda,,,FALSE,95,Hot Lead
Canteen,,,FALSE,75,High Priority
Veg Bites Cafe & Restaurant,,,FALSE,85,Hot Lead
Nature's Kitchen Pluck & Dine,,,FALSE,90,Hot Lead
Apna Sweets,,,FALSE,90,Hot Lead
jay ambe sweets,,,FALSE,95,Hot Lead
DZire paying guest and mess,,,FALSE,90,Hot Lead
Matargasti,,,FALSE,75,High Priority
"Vairagi Chef ""Cakes and Street Food""",,,FALSE,90,Hot Lead
Royal Bakery Stores,,,FALSE,95,Hot Lead
Karnawat hotel,,,FALSE,90,Hot Lead
Rajesh Restuarant,,,FALSE,75,High Priority
