name,official_url,has_official_website,lead_score,lead_category,google_search_url,extracted_phone,scrape_status
Jain Mithai Bhandar(JMB),,FALSE,70,High Priority,https://www.google.com/search?q=Jain+Mithai+Bhandar(JMB)+phone,,found
Apna Sweets,https://apnasweets.com/,TRUE,15,Strong Online Presence,https://www.google.com/search?q=Apna+Sweets+phone,7611106942,found
Bhojanalay and Tiffin Centre,,FALSE,75,High Priority,https://www.google.com/search?q=Bhojanalay+and+Tiffin+Centre+phone,9039106870,found
MY Kitchen Restaurant,,FALSE,80,High Priority,https://www.google.com/search?q=MY+Kitchen+Restaurant+phone,9179171921,found
hazi samosa center,,FALSE,85,Hot Lead,https://www.google.com/search?q=hazi+samosa+center+phone,7489538723,found
Mr. Singh's Restaurant,,FALSE,70,High Priority,https://www.google.com/search?q=Mr.+Singh's+Restaurant+phone,9752091717,found
Nafees,,FALSE,85,Hot Lead,https://www.google.com/search?q=Nafees+phone,9039090005,found
Saifee Restaurant,,FALSE,90,Hot Lead,https://www.google.com/search?q=Saifee+Restaurant+phone,9826517285,found
Saifee Hotel,,FALSE,85,Hot Lead,https://www.google.com/search?q=Saifee+Hotel+phone,9826517285,found
Mr. Beans,https://mrbeans.in/indore.php,TRUE,15,Strong Online Presence,https://www.google.com/search?q=Mr.+Beans+phone,,found
Kebabsville,,FALSE,70,High Priority,https://www.google.com/search?q=Kebabsville+phone,7389939362,found
Blue Lagoon,,FALSE,85,Hot Lead,https://www.google.com/search?q=Blue+Lagoon+phone,3544208800,found
Mediterra,,FALSE,75,High Priority,https://www.google.com/search?q=Mediterra+phone,,found
Chopstick City,,FALSE,80,High Priority,https://www.google.com/search?q=Chopstick+City+phone,7389910992,found
Sanchi,http://www.sanchiindore.com/,TRUE,10,Strong Online Presence,https://www.google.com/search?q=Sanchi+phone,,found
babla chicken centre,,FALSE,75,High Priority,https://www.google.com/search?q=babla+chicken+centre+phone,,found
Prashant Restaurant,,FALSE,80,High Priority,https://www.google.com/search?q=Prashant+Restaurant+phone,7909403003,found
Sai prasad,,FALSE,70,High Priority,https://www.google.com/search?q=Sai+prasad+phone,8827443737,found
Neelkamal restaurant,,FALSE,70,High Priority,https://www.google.com/search?q=Neelkamal+restaurant+phone,7510101064,found
Neelkanth restaurant,,FALSE,75,High Priority,https://www.google.com/search?q=Neelkanth+restaurant+phone,9111118858,found
Man bhavan,,FALSE,70,High Priority,https://www.google.com/search?q=Man+bhavan+phone,9713989888,found
Kabeer roasted chicken,,FALSE,90,Hot Lead,https://www.google.com/search?q=Kabeer+roasted+chicken+phone,,found
Krishna Restaurant,,FALSE,70,High Priority,https://www.google.com/search?q=Krishna+Restaurant+phone,9981707374,found
Pitchers Cafebar,,FALSE,70,High Priority,https://www.google.com/search?q=Pitchers+Cafebar+phone,9981118194,found
Pizza Hut,https://restaurants.pizzahut.co.in/Madhya+Pradesh-Indore,TRUE,20,Strong Online Presence,https://www.google.com/search?q=Pizza+Hut+phone,8655616001,found
Pizza Hut,https://www.pizzahut.co.in/,TRUE,15,Strong Online Presence,https://www.google.com/search?q=Pizza+Hut+phone,8655616001,found
Pizza Hut,,FALSE,90,Hot Lead,https://www.google.com/search?q=Pizza+Hut+phone,8655616001,found
Pizza Hut,https://restaurants.pizzahut.co.in/pizza-hut-bhawarkua-main-rd-pizza-restaurant-bhawarkua-main-rd-indore-104907/Home,TRUE,10,Strong Online Presence,https://www.google.com/search?q=Pizza+Hut+phone,8655616001,found
Ambika sweets,,FALSE,90,Hot Lead,https://www.google.com/search?q=Ambika+sweets+phone,9826025001,found
Jainam food,,FALSE,80,High Priority,https://www.google.com/search?q=Jainam+food+phone,9399488280,found
Sharma Sweets,,FALSE,70,High Priority,https://www.google.com/search?q=Sharma+Sweets+phone,9826235000,found
ATKT cafe,,FALSE,85,Hot Lead,https://www.google.com/search?q=ATKT+cafe+phone,7566865221,found
Lord of Grill,,FALSE,95,Hot Lead,https://www.google.com/search?q=Lord+of+Grill+phone,,found
Apna Punjabi Dhaba,,FALSE,70,High Priority,https://www.google.com/search?q=Apna+Punjabi+Dhaba+phone,8720038600,found
Maratha Darbar,,FALSE,75,High Priority,https://www.google.com/search?q=Maratha+Darbar+phone,9.19907E+11,found
Maayra Ka Dhaaba,,FALSE,70,High Priority,https://www.google.com/search?q=Maayra+Ka+Dhaaba+phone,9826069654,found
Ramesh South Indian,,FALSE,80,High Priority,https://www.google.com/search?q=Ramesh+South+Indian+phone,8982967755,found
Panna Restaurant & Sweets,,FALSE,95,Hot Lead,https://www.google.com/search?q=Panna+Restaurant+&+Sweets+phone,9329074123,found
D. K. Restaurant,,FALSE,85,Hot Lead,https://www.google.com/search?q=D.+K.+Restaurant+phone,,found
Kushwah Ji Tiffin Center,,FALSE,90,Hot Lead,https://www.google.com/search?q=Kushwah+Ji+Tiffin+Center+phone,9993631094,found
Kesarlal,,FALSE,70,High Priority,https://www.google.com/search?q=Kesarlal+phone,9926001113,found
Apna Sweets,https://apnasweets.com/,TRUE,15,Strong Online Presence,https://www.google.com/search?q=Apna+Sweets+phone,7611106942,found
Pishori Dhaba,,FALSE,70,High Priority,https://www.google.com/search?q=Pishori+Dhaba+phone,9303264461,found
Gurjar Restaurant,,FALSE,85,Hot Lead,https://www.google.com/search?q=Gurjar+Restaurant+phone,8602533302,found
Taste N Best,,FALSE,75,High Priority,https://www.google.com/search?q=Taste+N+Best+phone,7240893435,found
Sapna Restaurant,,FALSE,70,High Priority,https://www.google.com/search?q=Sapna+Restaurant+phone,7890008232,found
Wayfare,,FALSE,80,High Priority,https://www.google.com/search?q=Wayfare+phone,,found
Satkar Pure Veg,,FALSE,70,High Priority,https://www.google.com/search?q=Satkar+Pure+Veg+phone,9479313713,found
Kitchen Sensation,,FALSE,75,High Priority,https://www.google.com/search?q=Kitchen+Sensation+phone,,found
Just Paratha,,FALSE,80,High Priority,https://www.google.com/search?q=Just+Paratha+phone,9074282233,found
Radha sanchi parler,,FALSE,75,High Priority,https://www.google.com/search?q=Radha+sanchi+parler+phone,,found
Primus Lounge,,FALSE,85,Hot Lead,https://www.google.com/search?q=Primus+Lounge+phone,,found
Annapurna Restaurent,,FALSE,70,High Priority,https://www.google.com/search?q=Annapurna+Restaurent+phone,,found
vijayshree sandwhcih,,FALSE,80,High Priority,https://www.google.com/search?q=vijayshree+sandwhcih+phone,7314977939,found
ridhi sidhi,,FALSE,90,Hot Lead,https://www.google.com/search?q=ridhi+sidhi+phone,,found
Pind balluchi,,FALSE,95,Hot Lead,https://www.google.com/search?q=Pind+balluchi+phone,8889688850,found
Satkar Pure Veg Punjabi Dhaba,,FALSE,80,High Priority,https://www.google.com/search?q=Satkar+Pure+Veg+Punjabi+Dhaba+phone,9479313713,found
sun food restaurant,,FALSE,70,High Priority,https://www.google.com/search?q=sun+food+restaurant+phone,9755547070,found
Orion Restaurant,,FALSE,70,High Priority,https://www.google.com/search?q=Orion+Restaurant+phone,8109612326,found
Mayur Dhaba,,FALSE,80,High Priority,https://www.google.com/search?q=Mayur+Dhaba+phone,6264936977,found
Shri Gajanand Bhojanalaya,,FALSE,85,Hot Lead,https://www.google.com/search?q=Shri+Gajanand+Bhojanalaya+phone,9009841224,found
Karnavat,,FALSE,75,High Priority,https://www.google.com/search?q=Karnavat+phone,9109228837,found
